name,description,price,photo_url,type
"VEVELSTAD Bed frame, Queen","Bed frame,",149,https://www.ikea.com/us/en/images/products/vevelstad-bed-frame-white__1035358_pe840534_s5.jpg?f=xxs, Bed
"VEVELSTAD Bed frame with 2 headboards, Queen","Bed frame with 2 headboards,",269,https://www.ikea.com/us/en/images/products/vevelstad-bed-frame-with-2-headboards-white-tolkning-rattan__1115627_pe872169_s5.jpg?f=xxs, Bed
"HAUGA Upholstered bed frame, Queen","Upholstered bed frame,",399,https://www.ikea.com/us/en/images/products/hauga-upholstered-bed-frame-lofallet-beige__0848954_pe781056_s5.jpg?f=xxs, Bed
"TUFJORD Upholstered bed frame, Queen","Upholstered bed frame,",549,https://www.ikea.com/us/en/images/products/tufjord-upholstered-bed-frame-tallmyra-white-black__1259500_pe926690_s5.jpg?f=xxs, Bed
"MALM High bed frame/2 storage boxes, Queen","High bed frame/2 storage boxes,",349,https://www.ikea.com/us/en/images/products/malm-high-bed-frame-2-storage-boxes-black-brown-luroey__1154412_pe886059_s5.jpg?f=xxs, Bed
"BRIMNES Bed frame with storage, Queen","Bed frame with storage,",349,https://www.ikea.com/us/en/images/products/brimnes-bed-frame-with-storage-white-luroey__1151024_pe884762_s5.jpg?f=xxs, Bed
"BRIMNES Bed frame with storage & headboard, Queen","Bed frame with storage & headboard,",499,https://www.ikea.com/us/en/images/products/brimnes-bed-frame-with-storage-headboard-black-luroey__1151053_pe884765_s5.jpg?f=xxs, Bed
"MALM High bed frame/4 storage boxes, Queen","High bed frame/4 storage boxes,",429,https://www.ikea.com/us/en/images/products/malm-high-bed-frame-4-storage-boxes-white-luroey__1154393_pe886042_s5.jpg?f=xxs, Bed
"NORDLI Bed with headboard and storage, Queen","Bed with headboard and storage,",649,https://www.ikea.com/us/en/images/products/nordli-bed-with-headboard-and-storage-anthracite__1151020_pe884726_s5.jpg?f=xxs, Bed
"GLADSTAD Upholstered bed, 2 storage boxes , Queen","Upholstered bed, 2 storage boxes ,",299,https://www.ikea.com/us/en/images/products/gladstad-upholstered-bed-2-storage-boxes-kabusa-light-gray__1116349_pe872495_s5.jpg?f=xxs, Bed
"MALM Storage bed, Queen","Storage bed,",549,https://www.ikea.com/us/en/images/products/malm-storage-bed-white__0749127_pe745496_s5.jpg?f=xxs, Bed
"SONGESAND Bed frame with 4 storage boxes, Queen","Bed frame with 4 storage boxes,",499,https://www.ikea.com/us/en/images/products/songesand-bed-frame-with-4-storage-boxes-brown-luroey__1151018_pe884725_s5.jpg?f=xxs, Bed
"IDANaS Upholstered storage bed, Queen","Upholstered storage bed,",799,https://www.ikea.com/us/en/images/products/idanaes-upholstered-storage-bed-gunnared-dark-gray__1151051_pe884753_s5.jpg?f=xxs, Bed
"SONGESAND Bed frame with 2 storage boxes, Full/Double","Bed frame with 2 storage boxes,",369,https://www.ikea.com/us/en/images/products/songesand-bed-frame-with-2-storage-boxes-white-luroey__1151019_pe884760_s5.jpg?f=xxs, Bed
"NORDLI Bed frame with storage, Queen","Bed frame with storage,",499,https://www.ikea.com/us/en/images/products/nordli-bed-frame-with-storage-white__1151058_pe884758_s5.jpg?f=xxs, Bed
"HEMNES Bed frame with 4 storage boxes, King","Bed frame with 4 storage boxes,",649,https://www.ikea.com/us/en/images/products/hemnes-bed-frame-with-4-storage-boxes-black-brown-luroey__0948874_pe799343_s5.jpg?f=xxs, Bed
"SLaKT Bed frame w/storage+slatted bedbase, Twin","Bed frame w/storage+slatted bedbase,",429,https://www.ikea.com/us/en/images/products/slaekt-bed-frame-w-storage-slatted-bedbase-white__0648346_pe704865_s5.jpg?f=xxs, Bed
"IDANaS Bed frame with storage, Queen","Bed frame with storage,",729,https://www.ikea.com/us/en/images/products/idanaes-bed-frame-with-storage-dark-brown-luroey__1151052_pe884754_s5.jpg?f=xxs, Bed
"HAUGA Upholstered bed, 4 storage boxes , Queen","Upholstered bed, 4 storage boxes ,",599,https://www.ikea.com/us/en/images/products/hauga-upholstered-bed-4-storage-boxes-lofallet-beige__1177943_pe895554_s5.jpg?f=xxs, Bed
"BRIMNES Daybed frame with 2 drawers, Twin","Daybed frame with 2 drawers,",249,https://www.ikea.com/us/en/images/products/brimnes-daybed-frame-with-2-drawers-white__1161827_pe889528_s5.jpg?f=xxs, Bed
"MALM High bed frame/2 storage boxes, Twin","High bed frame/2 storage boxes,",249,https://www.ikea.com/us/en/images/products/malm-high-bed-frame-2-storage-boxes-white__1154404_pe886051_s5.jpg?f=xxs, Bed
"GLADSTAD Upholstered bed, 4 storage boxes , Queen","Upholstered bed, 4 storage boxes ,",399,https://www.ikea.com/us/en/images/products/gladstad-upholstered-bed-4-storage-boxes-kabusa-light-gray__1116349_pe872495_s5.jpg?f=xxs, Bed
"HEMNES Daybed frame with 3 drawers, Twin","Daybed frame with 3 drawers,",399,https://www.ikea.com/us/en/images/products/hemnes-daybed-frame-with-3-drawers-white__1180454_pe896328_s5.jpg?f=xxs, Bed
"HEMNES Bed frame with 2 storage boxes, Full","Bed frame with 2 storage boxes,",429,https://www.ikea.com/us/en/images/products/hemnes-bed-frame-with-2-storage-boxes-white-stain-luroey__1154514_pe886090_s5.jpg?f=xxs, Bed
"NORDLI Bed frame with storage, Queen","Bed frame with storage,",499,https://www.ikea.com/us/en/images/products/nordli-bed-frame-with-storage-anthracite__1151029_pe884733_s5.jpg?f=xxs, Bed
"HEMNES Bed frame with 4 storage boxes, Queen","Bed frame with 4 storage boxes,",619,https://www.ikea.com/us/en/images/products/hemnes-bed-frame-with-4-storage-boxes-white-stain-loenset__1154513_pe886108_s5.jpg?f=xxs, Bed
"SLaKT Bed frame w/pull-out bed + storage, Twin","Bed frame w/pull-out bed + storage,",349,https://www.ikea.com/us/en/images/products/slaekt-bed-frame-w-pull-out-bed-storage-white__0637775_pe698535_s5.jpg?f=xxs, Bed
"HAUGA Upholstered bed, 2 storage boxes , Queen","Upholstered bed, 2 storage boxes ,",499,https://www.ikea.com/us/en/images/products/hauga-upholstered-bed-2-storage-boxes-lofallet-beige__1151055_pe884717_s5.jpg?f=xxs, Bed
"MALM High bed frame/2 storage boxes, Queen","High bed frame/2 storage boxes,",349,https://www.ikea.com/us/en/images/products/malm-high-bed-frame-2-storage-boxes-black-brown-luroey__1154412_pe886059_s5.jpg?f=xxs, Bed
"BRIMNES Bed frame with storage, Queen","Bed frame with storage,",349,https://www.ikea.com/us/en/images/products/brimnes-bed-frame-with-storage-white-luroey__1151024_pe884762_s5.jpg?f=xxs, Bed
"BRIMNES Bed frame with storage & headboard, Queen","Bed frame with storage & headboard,",499,https://www.ikea.com/us/en/images/products/brimnes-bed-frame-with-storage-headboard-black-luroey__1151053_pe884765_s5.jpg?f=xxs, Bed
